date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,Team1 Win
28-10-2019,2020,0,,NYK,CHI,1306.433675,1357.912992,0.569376441,0.430623559,1313.408409,1350.938258,1248.834932,1316.059412,0.542571752,0.457428248,1256.353052,1308.541292,1296.250722,1467.056029,0.395187331,0.604812669,105,98,win
28-10-2019,2020,0,,TOR,ORL,1674.373122,1539.3626,0.794591802,0.205408198,1677.739106,1535.996616,1729.288689,1555.708554,0.82547084,0.17452916,1732.082951,1552.914292,1574.509264,1530.104634,0.692166637,0.307833363,104,95,win
28-10-2019,2020,0,,ATL,PHI,1453.966689,1597.842665,0.437190933,0.562809067,1449.885063,1601.924291,1425.531395,1627.286654,0.364532709,0.635467291,1422.261219,1630.55683,1402.558162,1658.506611,0.295731982,0.704268018,103,105,loose
28-10-2019,2020,0,,NOP,GSW,1402.731956,1585.878067,0.382576276,0.617423724,1394.832059,1593.777965,1381.101784,1628.891134,0.349662193,0.650337807,1374.012616,1635.980302,1524.39422,1595.561577,0.597772768,0.402227232,123,134,loose
28-10-2019,2020,0,,HOU,OKC,1642.773342,1544.998718,0.75740087,0.24259913,1645.42273,1542.349331,1699.770231,1563.521753,0.831726398,0.168273602,1701.511908,1561.780076,1714.050004,1565.269256,0.841583,0.158417,116,112,win
28-10-2019,2020,0,,MIL,CLE,1639.807185,1360.095805,0.898966571,0.101033429,1642.077348,1357.825642,1692.772037,1300.545232,0.944335047,0.055664953,1693.942295,1299.374973,1634.75584,1363.969505,0.893980673,0.106019327,129,112,win
28-10-2019,2020,0,,SAS,POR,1557.898976,1602.293713,0.579346094,0.420653906,1562.402089,1597.790601,1570.945171,1638.904447,0.610069666,0.389930334,1575.049746,1634.799872,1495.87637,1533.309421,0.650975103,0.349024897,113,110,win
28-10-2019,2020,0,,PHO,UTA,1373.360094,1595.75748,0.330798454,0.669201546,1370.92447,1598.193104,1324.003623,1615.238346,0.255087971,0.744912029,1322.208839,1617.03313,1507.852107,1616.626056,0.49466795,0.50533205,95,96,loose
28-10-2019,2020,0,,SAC,DEN,1428.42942,1599.815607,0.398688684,0.601311316,1422.083671,1606.161356,1418.826551,1612.710839,0.360983844,0.639016156,1413.199419,1618.337971,1483.367402,1651.473,0.395870256,0.604129744,94,101,loose
28-10-2019,2020,0,,LAC,CHO,1539.401887,1461.977588,0.735232825,0.264767175,1545.645095,1455.73438,1546.638671,1461.521139,0.783552736,0.216447264,1551.582947,1456.576863,1581.584519,1342.66367,0.897693409,0.102306591,111,96,win
29-10-2019,2020,0,,MIA,ATL,1515.430189,1449.885063,0.721708933,0.278291067,1522.047359,1443.267893,1520.831309,1422.261219,0.79124294,0.20875706,1525.574229,1417.518299,1514.394424,1403.263215,0.802935211,0.197064789,112,97,win
29-10-2019,2020,0,,DEN,DAL,1606.161356,1472.963966,0.792883044,0.207116956,1595.262718,1483.862604,1618.337971,1466.59156,0.802086368,0.197913632,1607.204419,1477.725113,1652.361995,1575.745666,0.724501579,0.275498421,106,109,loose
29-10-2019,2020,0,,LAL,MEM,1488.425015,1437.174519,0.704884643,0.295115357,1499.657471,1425.942062,1488.633573,1432.190593,0.715951381,0.284048619,1499.373186,1421.45098,1623.847585,1459.540456,0.824245864,0.175754136,120,91,win
30-10-2019,2020,0,,CLE,CHI,1357.825642,1350.938258,0.649147314,0.350852686,1362.824304,1345.939596,1299.374973,1308.541292,0.625996184,0.374003816,1304.772728,1303.143537,1363.197982,1462.244605,0.499421413,0.500578587,117,111,win
30-10-2019,2020,0,,ORL,NYK,1535.996616,1313.408409,0.864943034,0.135056966,1538.494969,1310.910057,1552.914292,1256.353052,0.903770794,0.096229206,1554.622155,1254.645189,1529.278731,1280.049109,0.87732944,0.12267056,95,83,win
30-10-2019,2020,0,,PHI,MIN,1601.924291,1504.06015,0.757495541,0.242504459,1609.256295,1496.728146,1630.55683,1493.355783,0.791304126,0.208695874,1636.723257,1487.189355,1657.781869,1578.278628,0.731190105,0.268809895,117,95,win
30-10-2019,2020,0,,TOR,DET,1677.739106,1462.679032,0.85980021,0.14019979,1680.345068,1460.07307,1732.082951,1458.089165,0.893660099,0.106339901,1733.992757,1456.17936,1575.348275,1389.399348,0.835051208,0.164948792,125,113,win
30-10-2019,2020,0,,BRK,IND,1487.033195,1478.086251,0.651842731,0.348157269,1472.212437,1492.907009,1486.249602,1476.180732,0.639919438,0.360080562,1471.814514,1490.615821,1502.009289,1498.108036,0.631698619,0.368301381,108,118,loose
30-10-2019,2020,0,,BOS,MIL,1586.309414,1642.077348,0.563313371,0.436686629,1595.597772,1632.788991,1616.364423,1693.942295,0.527019971,0.472980029,1626.626445,1683.680273,1521.688256,1636.824631,0.473021517,0.526978483,116,105,win
30-10-2019,2020,0,,OKC,POR,1542.349331,1597.790601,0.563775885,0.436224115,1535.812606,1604.327325,1561.780076,1634.799872,0.543107522,0.456892478,1555.557991,1641.021957,1523.526083,1533.575076,0.630729655,0.369270345,99,102,loose
30-10-2019,2020,0,,WAS,HOU,1449.444857,1645.42273,0.365286197,0.634713803,1446.702512,1648.165075,1437.412665,1701.511908,0.270323114,0.729676886,1435.492414,1703.432159,1427.148624,1713.933634,0.245349015,0.754650985,158,159,loose
30-10-2019,2020,0,,UTA,LAC,1598.193104,1545.645095,0.706435998,0.293564002,1604.923226,1538.914973,1617.03313,1551.582947,0.756043189,0.243956811,1622.456064,1546.160012,1617.252464,1581.963398,0.722618168,0.277381832,110,96,win
30-10-2019,2020,0,,SAC,CHO,1422.083671,1455.73438,0.594340251,0.405659749,1411.523029,1466.295023,1413.199419,1456.576863,0.573388765,0.426611235,1403.138408,1466.637873,1482.479151,1353.62136,0.783665513,0.216334487,111,118,loose
30-10-2019,2020,0,,GSW,PHO,1593.777965,1370.92447,0.865121328,0.134878672,1568.091175,1396.611259,1635.980302,1322.208839,0.908411381,0.091588619,1606.609347,1351.579794,1531.187112,1507.597766,0.65112042,0.34887958,110,121,loose
